Timestamp,Temperature (C),Humidity (%)
2024-07-18 12:00:24,24.30,64.10
2024-07-18 12:00:26,24.30,64.20
2024-07-18 12:00:28,24.30,64.40
2024-07-18 12:00:30,24.30,64.50
2024-07-18 12:00:32,24.30,64.80
2024-07-18 12:00:34,24.30,65.10
2024-07-18 12:00:36,24.30,65.40
2024-07-18 12:00:38,24.30,65.80
2024-07-18 12:00:40,24.30,66.40
2024-07-18 12:00:42,24.30,66.90
2024-07-18 12:00:44,24.30,67.20
2024-07-18 12:00:46,24.30,67.30
2024-07-18 12:00:48,24.30,67.30
2024-07-18 12:00:50,24.30,67.20
2024-07-18 12:00:52,24.30,67.30
2024-07-18 12:00:54,24.40,67.60
2024-07-18 12:00:56,24.30,68.20
2024-07-18 12:00:58,24.40,68.70
2024-07-18 12:01:00,24.40,68.90
2024-07-18 12:01:02,24.40,69.20
2024-07-18 12:01:05,24.40,69.70
2024-07-18 12:01:07,24.40,70.00
2024-07-18 12:01:09,24.50,70.20
2024-07-18 12:01:11,24.50,70.40
2024-07-18 12:01:13,24.50,70.40
2024-07-18 12:01:15,24.50,70.40
2024-07-18 12:01:17,24.50,70.50
2024-07-18 12:01:19,24.50,70.60
2024-07-18 12:01:21,24.50,70.90
2024-07-18 12:01:23,24.60,70.90
2024-07-18 12:01:25,24.60,71.00
2024-07-18 12:01:27,24.60,71.40
2024-07-18 12:01:29,24.60,71.60
2024-07-18 12:01:31,24.70,71.70
2024-07-18 12:01:33,24.70,71.90
2024-07-18 12:01:35,24.70,71.90
2024-07-18 12:01:37,24.70,71.70
2024-07-18 12:01:39,24.70,71.70
2024-07-18 12:01:41,24.80,71.90
2024-07-18 12:01:43,24.80,72.10
2024-07-18 12:01:45,24.80,72.30
2024-07-18 12:01:47,24.80,72.50
2024-07-18 12:01:49,24.80,72.70
2024-07-18 12:01:51,24.90,72.90
2024-07-18 12:01:53,24.90,72.90
2024-07-18 12:01:55,24.90,73.00
2024-07-18 12:01:57,24.90,73.00
2024-07-18 12:01:59,24.90,73.00
2024-07-18 12:02:01,24.90,73.00
2024-07-18 12:02:03,25.00,73.10
2024-07-18 12:02:05,25.00,73.20
2024-07-18 12:02:07,25.00,73.30
2024-07-18 12:02:09,25.00,73.30
2024-07-18 12:02:11,25.00,73.60
2024-07-18 12:02:13,25.10,73.60
2024-07-18 12:02:15,25.10,73.80
2024-07-18 12:02:17,25.10,73.80
2024-07-18 12:02:19,25.10,73.70
2024-07-18 12:02:22,25.10,73.70
2024-07-18 12:02:24,25.20,73.60
2024-07-18 12:02:26,25.20,73.80
2024-07-18 12:02:28,25.20,74.00
2024-07-18 12:02:30,25.20,74.00
2024-07-18 12:02:32,25.20,74.10
2024-07-18 12:02:34,25.30,74.20
2024-07-18 12:02:36,25.30,74.40
2024-07-18 12:02:38,25.30,74.60
2024-07-18 12:02:40,25.30,74.60
2024-07-18 12:02:42,25.30,74.60
2024-07-18 12:02:44,25.30,74.50
2024-07-18 12:02:46,25.40,74.40
2024-07-18 12:02:48,25.40,74.50
2024-07-18 12:02:50,25.40,74.70
2024-07-18 12:02:52,25.40,75.00
2024-07-18 12:02:54,25.40,75.30
2024-07-18 12:02:56,25.50,75.40
2024-07-18 12:02:58,25.50,75.60
2024-07-18 12:03:00,25.50,75.70
2024-07-18 12:03:02,25.50,75.80
2024-07-18 12:03:04,25.50,75.70
2024-07-18 12:03:06,25.50,75.70
2024-07-18 12:03:08,25.50,75.70
2024-07-18 12:03:10,25.50,75.70
2024-07-18 12:03:12,25.50,75.70
2024-07-18 12:03:14,25.50,75.80
2024-07-18 12:03:16,25.60,75.80
2024-07-18 12:03:18,25.60,75.80
2024-07-18 12:03:20,25.60,76.10
2024-07-18 12:03:22,25.60,76.30
2024-07-18 12:03:24,25.70,76.30
2024-07-18 12:03:26,25.70,76.30
2024-07-18 12:03:28,25.70,76.30
2024-07-18 12:03:30,25.70,76.30
2024-07-18 12:03:32,25.70,76.30
2024-07-18 12:03:34,25.70,76.60
2024-07-18 12:03:36,25.70,76.80
2024-07-18 12:03:38,25.70,76.80
2024-07-18 12:03:41,25.80,76.80
2024-07-18 12:03:43,25.80,77.00
2024-07-18 12:03:45,25.80,77.10
2024-07-18 12:03:47,25.80,77.10
2024-07-18 12:03:49,25.80,77.20
2024-07-18 12:03:51,25.80,77.10
2024-07-18 12:03:53,25.80,77.00
2024-07-18 12:03:55,25.80,77.00
2024-07-18 12:03:57,25.80,76.80
2024-07-18 12:03:59,25.80,76.80
2024-07-18 12:04:01,25.80,76.70
2024-07-18 12:04:03,25.80,76.60
2024-07-18 12:04:05,25.80,76.40
2024-07-18 12:04:07,25.80,76.20
2024-07-18 12:04:09,25.80,76.10
2024-07-18 12:04:11,25.80,76.00
2024-07-18 12:04:13,25.80,75.90
2024-07-18 12:04:15,25.80,75.90
2024-07-18 12:04:17,25.80,75.80
2024-07-18 12:04:19,25.80,75.70
2024-07-18 12:04:21,25.90,75.60
2024-07-18 12:04:23,25.80,75.40
2024-07-18 12:04:25,25.90,75.20
2024-07-18 12:04:27,25.80,75.20
2024-07-18 12:04:29,25.80,74.70
2024-07-18 12:04:31,25.80,74.40
2024-07-18 12:04:33,25.80,74.40
2024-07-18 12:04:35,25.80,74.30
2024-07-18 12:04:37,25.80,74.20
2024-07-18 12:04:39,25.80,74.20
2024-07-18 12:04:41,25.80,74.10
2024-07-18 12:04:43,25.80,73.70
2024-07-18 12:04:45,25.80,73.40
2024-07-18 12:04:47,25.80,73.30
2024-07-18 12:04:49,25.80,73.00
2024-07-18 12:04:51,25.70,72.70
2024-07-18 12:04:53,25.70,72.40
2024-07-18 12:04:55,25.70,72.30
2024-07-18 12:04:58,25.70,72.30
2024-07-18 12:05:00,25.70,72.50
2024-07-18 12:05:02,25.70,72.50
2024-07-18 12:05:04,25.70,72.30
2024-07-18 12:05:06,25.60,72.00
2024-07-18 12:05:08,25.60,71.80
2024-07-18 12:05:10,25.60,71.70
2024-07-18 12:05:12,25.60,71.60
2024-07-18 12:05:14,25.60,71.40
2024-07-18 12:05:16,25.50,71.10
2024-07-18 12:05:18,25.50,71.10
2024-07-18 12:05:20,25.50,71.20
2024-07-18 12:05:22,25.50,71.30
2024-07-18 12:05:24,25.50,71.30
2024-07-18 12:05:26,25.50,71.30
